# zgw	ngw1	ngw2	ngw3	ngw4	ngw5	ngw6	ngw7	ngw8	ngw9	ngw10	ngw11	ngw12	ngw13
2.46246246	0.00000000	0.00000000	0.00000000	0.00000002	0.00000332	0.00018238	0.00473124	0.06269652	0.42960743	1.45709177	2.20787696	1.25018167	0.19583171
2.46746747	0.00000000	0.00000000	0.00000000	0.00000002	0.00000298	0.00016550	0.00435546	0.05866612	0.40958906	1.41966908	2.20629239	1.28698204	0.20892497
2.47247247	0.00000000	0.00000000	0.00000000	0.00000002	0.00000267	0.00015014	0.00400824	0.05487198	0.39030012	1.38232538	2.20301823	1.32365472	0.22264799
2.47747748	0.00000000	0.00000000	0.00000000	0.00000002	0.00000239	0.00013618	0.00368752	0.05130209	0.37172757	1.34511265	2.19807522	1.36013783	0.23701305
2.48248248	0.00000000	0.00000000	0.00000000	0.00000001	0.00000214	0.00012348	0.00339139	0.04794487	0.35385761	1.30808057	2.19148771	1.39636897	0.25203141
2.48748749	0.00000000	0.00000000	0.00000000	0.00000001	0.00000191	0.00011195	0.00311807	0.04478924	0.33667584	1.27127655	2.18328346	1.43228539	0.26771322
2.49249249	0.00000000	0.00000000	0.00000000	0.00000001	0.00000171	0.00010146	0.00286589	0.04182455	0.32016725	1.23474562	2.17349352	1.46782426	0.28406749
2.49749750	0.00000000	0.00000000	0.00000000	0.00000001	0.00000153	0.00009194	0.00263329	0.03904060	0.30431636	1.19853044	2.16215209	1.50292280	0.30110195
2.50250250	0.00000000	0.00000000	0.00000000	0.00000001	0.00000137	0.00008330	0.00241884	0.03642763	0.28910729	1.16267127	2.14929633	1.53751851	0.31882302
2.50750751	0.00000000	0.00000000	0.00000000	0.00000001	0.00000123	0.00007545	0.00222119	0.03397630	0.27452380	1.12720595	2.13496618	1.57154937	0.33723567
2.51251251	0.00000000	0.00000000	0.00000000	0.00000001	0.00000110	0.00006832	0.00203908	0.03167771	0.26054936	1.09216991	2.11920421	1.60495406	0.35634340
2.51751752	0.00000000	0.00000000	0.00000000	0.00000001	0.00000098	0.00006186	0.00187135	0.02952334	0.24716725	1.05759618	2.10205541	1.63767210	0.37614817
2.52252252	0.00000000	0.00000000	0.00000000	0.00000001	0.00000088	0.00005599	0.00171692	0.02750507	0.23436059	1.02351540	2.08356700	1.66964410	0.39665028
2.52752753	0.00000000	0.00000000	0.00000000	0.00000000	0.00000079	0.00005067	0.00157478	0.02561515	0.22211239	0.98995584	2.06378827	1.70081192	0.41784835
